nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-074525
iter 00001 | success 0.016 | policy_loss 0.01460 | value_loss 9177.16162 | Vmean -0.017 | Rmean 61.530 | Vrmse 135.566 | VexpVar -0.000 | adv_std 120.790 | elapsed 29.79s
iter 00109 | success 0.521 | policy_loss -0.00007 | value_loss 2801.05165 | Vmean -146.895 | Rmean -148.554 | Vrmse 74.807 | VexpVar 0.828 | adv_std 74.789 | elapsed 35.61s
iter 00110 | success 0.531 | policy_loss -0.00002 | value_loss 2727.39131 | Vmean -146.770 | Rmean -149.097 | Vrmse 73.788 | VexpVar 0.831 | adv_std 73.751 | elapsed 34.93s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_110.pt
iter 00111 | success 0.531 | policy_loss -0.00001 | value_loss 2709.37817 | Vmean -150.537 | Rmean -151.880 | Vrmse 73.525 | VexpVar 0.831 | adv_std 73.513 | elapsed 38.45s
iter 00112 | success 0.532 | policy_loss -0.00008 | value_loss 2688.13724 | Vmean -148.926 | Rmean -150.405 | Vrmse 73.217 | VexpVar 0.833 | adv_std 73.202 | elapsed 36.19s
iter 00113 | success 0.517 | policy_loss -0.00001 | value_loss 2755.09282 | Vmean -149.332 | Rmean -151.677 | Vrmse 74.151 | VexpVar 0.830 | adv_std 74.114 | elapsed 35.95s
iter 00114 | success 0.524 | policy_loss -0.00001 | value_loss 2718.52228 | Vmean -149.931 | Rmean -152.929 | Vrmse 73.700 | VexpVar 0.832 | adv_std 73.639 | elapsed 37.73s
iter 00115 | success 0.539 | policy_loss -0.00004 | value_loss 2608.52158 | Vmean -148.981 | Rmean -153.151 | Vrmse 72.054 | VexpVar 0.836 | adv_std 71.934 | elapsed 37.58s
iter 00116 | success 0.524 | policy_loss 0.00000 | value_loss 2745.42575 | Vmean -145.729 | Rmean -150.159 | Vrmse 73.924 | VexpVar 0.833 | adv_std 73.792 | elapsed 33.81s
iter 00117 | success 0.540 | policy_loss -0.00002 | value_loss 2682.85846 | Vmean -149.515 | Rmean -152.944 | Vrmse 73.095 | VexpVar 0.835 | adv_std 73.015 | elapsed 35.71s
iter 00118 | success 0.525 | policy_loss -0.00005 | value_loss 2673.98444 | Vmean -149.414 | Rmean -153.614 | Vrmse 72.930 | VexpVar 0.835 | adv_std 72.809 | elapsed 32.71s
iter 00119 | success 0.529 | policy_loss -0.00004 | value_loss 2668.16920 | Vmean -148.478 | Rmean -151.294 | Vrmse 72.953 | VexpVar 0.837 | adv_std 72.898 | elapsed 32.58s
iter 00120 | success 0.539 | policy_loss -0.00009 | value_loss 2665.84436 | Vmean -149.520 | Rmean -152.100 | Vrmse 72.867 | VexpVar 0.837 | adv_std 72.821 | elapsed 33.29s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_120.pt
iter 00121 | success 0.548 | policy_loss -0.00001 | value_loss 2602.48314 | Vmean -150.864 | Rmean -154.241 | Vrmse 71.963 | VexpVar 0.839 | adv_std 71.884 | elapsed 34.88s
iter 00122 | success 0.534 | policy_loss -0.00009 | value_loss 2618.23627 | Vmean -151.243 | Rmean -154.163 | Vrmse 72.271 | VexpVar 0.838 | adv_std 72.212 | elapsed 33.20s
iter 00123 | success 0.539 | policy_loss -0.00007 | value_loss 2579.22751 | Vmean -150.670 | Rmean -154.793 | Vrmse 71.587 | VexpVar 0.839 | adv_std 71.468 | elapsed 33.17s
iter 00124 | success 0.538 | policy_loss -0.00004 | value_loss 2675.78714 | Vmean -156.579 | Rmean -157.990 | Vrmse 73.018 | VexpVar 0.834 | adv_std 73.004 | elapsed 35.36s
iter 00125 | success 0.545 | policy_loss 0.00000 | value_loss 2605.30629 | Vmean -157.612 | Rmean -158.774 | Vrmse 72.013 | VexpVar 0.837 | adv_std 72.003 | elapsed 36.07s
iter 00126 | success 0.529 | policy_loss -0.00010 | value_loss 2634.17902 | Vmean -155.288 | Rmean -155.586 | Vrmse 72.301 | VexpVar 0.838 | adv_std 72.301 | elapsed 35.82s
iter 00127 | success 0.534 | policy_loss -0.00006 | value_loss 2703.56538 | Vmean -156.619 | Rmean -157.991 | Vrmse 73.207 | VexpVar 0.834 | adv_std 73.195 | elapsed 31.28s
iter 00128 | success 0.536 | policy_loss -0.00002 | value_loss 2595.44659 | Vmean -154.830 | Rmean -157.649 | Vrmse 71.970 | VexpVar 0.837 | adv_std 71.915 | elapsed 33.95s
iter 00129 | success 0.537 | policy_loss -0.00008 | value_loss 2660.21159 | Vmean -156.930 | Rmean -159.668 | Vrmse 72.837 | VexpVar 0.834 | adv_std 72.786 | elapsed 33.07s
iter 00130 | success 0.557 | policy_loss 0.00001 | value_loss 2604.80959 | Vmean -158.194 | Rmean -160.901 | Vrmse 72.012 | VexpVar 0.837 | adv_std 71.961 | elapsed 37.29s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_130.pt
iter 00131 | success 0.533 | policy_loss -0.00002 | value_loss 2679.77666 | Vmean -152.763 | Rmean -157.026 | Vrmse 73.101 | VexpVar 0.836 | adv_std 72.977 | elapsed 38.53s
iter 00132 | success 0.525 | policy_loss -0.00005 | value_loss 2663.87645 | Vmean -150.359 | Rmean -153.314 | Vrmse 72.808 | VexpVar 0.839 | adv_std 72.748 | elapsed 35.03s
iter 00133 | success 0.538 | policy_loss -0.00003 | value_loss 2621.35037 | Vmean -157.209 | Rmean -158.638 | Vrmse 72.028 | VexpVar 0.840 | adv_std 72.013 | elapsed 35.05s
iter 00134 | success 0.539 | policy_loss -0.00004 | value_loss 2589.17058 | Vmean -151.436 | Rmean -154.458 | Vrmse 71.694 | VexpVar 0.843 | adv_std 71.630 | elapsed 30.53s
iter 00135 | success 0.527 | policy_loss -0.00005 | value_loss 2585.15337 | Vmean -156.774 | Rmean -158.491 | Vrmse 71.742 | VexpVar 0.841 | adv_std 71.722 | elapsed 31.00s
iter 00136 | success 0.532 | policy_loss -0.00007 | value_loss 2605.61661 | Vmean -155.715 | Rmean -158.514 | Vrmse 71.970 | VexpVar 0.840 | adv_std 71.916 | elapsed 29.65s
iter 00137 | success 0.558 | policy_loss -0.00001 | value_loss 2506.12096 | Vmean -157.991 | Rmean -161.764 | Vrmse 70.373 | VexpVar 0.845 | adv_std 70.272 | elapsed 30.45s
iter 00138 | success 0.539 | policy_loss -0.00002 | value_loss 2577.04582 | Vmean -152.615 | Rmean -157.503 | Vrmse 71.442 | VexpVar 0.844 | adv_std 71.275 | elapsed 30.23s
iter 00139 | success 0.538 | policy_loss -0.00001 | value_loss 2616.09993 | Vmean -157.913 | Rmean -161.103 | Vrmse 71.836 | VexpVar 0.841 | adv_std 71.765 | elapsed 30.68s
iter 00140 | success 0.540 | policy_loss -0.00004 | value_loss 2604.72629 | Vmean -153.971 | Rmean -159.800 | Vrmse 72.057 | VexpVar 0.841 | adv_std 71.821 | elapsed 32.36s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_140.pt
iter 00141 | success 0.542 | policy_loss -0.00004 | value_loss 2539.83041 | Vmean -153.743 | Rmean -159.702 | Vrmse 71.177 | VexpVar 0.844 | adv_std 70.927 | elapsed 36.68s
iter 00142 | success 0.534 | policy_loss -0.00005 | value_loss 2637.44914 | Vmean -157.810 | Rmean -162.704 | Vrmse 72.305 | VexpVar 0.838 | adv_std 72.139 | elapsed 30.92s
iter 00143 | success 0.533 | policy_loss 0.00000 | value_loss 2618.56497 | Vmean -157.665 | Rmean -160.566 | Vrmse 72.071 | VexpVar 0.840 | adv_std 72.013 | elapsed 29.14s
iter 00144 | success 0.535 | policy_loss -0.00007 | value_loss 2580.52179 | Vmean -157.051 | Rmean -160.931 | Vrmse 71.602 | VexpVar 0.842 | adv_std 71.497 | elapsed 31.22s
iter 00145 | success 0.550 | policy_loss -0.00007 | value_loss 2462.89911 | Vmean -159.157 | Rmean -164.183 | Vrmse 70.029 | VexpVar 0.845 | adv_std 69.848 | elapsed 30.29s
iter 00146 | success 0.534 | policy_loss -0.00003 | value_loss 2615.25151 | Vmean -158.712 | Rmean -162.034 | Vrmse 72.064 | VexpVar 0.839 | adv_std 71.987 | elapsed 29.92s
iter 00147 | success 0.536 | policy_loss -0.00003 | value_loss 2639.75121 | Vmean -156.437 | Rmean -160.368 | Vrmse 72.481 | VexpVar 0.839 | adv_std 72.374 | elapsed 30.08s
iter 00148 | success 0.534 | policy_loss -0.00004 | value_loss 2557.34656 | Vmean -156.131 | Rmean -162.740 | Vrmse 71.348 | VexpVar 0.842 | adv_std 71.041 | elapsed 29.65s
iter 00149 | success 0.557 | policy_loss -0.00008 | value_loss 2527.37901 | Vmean -160.271 | Rmean -165.618 | Vrmse 70.812 | VexpVar 0.842 | adv_std 70.609 | elapsed 29.77s
iter 00150 | success 0.545 | policy_loss -0.00007 | value_loss 2519.42357 | Vmean -161.196 | Rmean -165.536 | Vrmse 70.764 | VexpVar 0.844 | adv_std 70.630 | elapsed 31.86s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_150.pt
iter 00151 | success 0.558 | policy_loss -0.00003 | value_loss 2533.10999 | Vmean -163.233 | Rmean -167.635 | Vrmse 70.662 | VexpVar 0.841 | adv_std 70.525 | elapsed 34.39s
iter 00152 | success 0.542 | policy_loss -0.00001 | value_loss 2581.34831 | Vmean -163.612 | Rmean -167.805 | Vrmse 71.417 | VexpVar 0.841 | adv_std 71.294 | elapsed 32.97s
iter 00153 | success 0.546 | policy_loss -0.00002 | value_loss 2620.53442 | Vmean -162.493 | Rmean -167.302 | Vrmse 71.983 | VexpVar 0.838 | adv_std 71.822 | elapsed 33.06s
iter 00154 | success 0.562 | policy_loss -0.00004 | value_loss 2514.89882 | Vmean -164.497 | Rmean -168.472 | Vrmse 70.687 | VexpVar 0.842 | adv_std 70.575 | elapsed 32.94s
iter 00155 | success 0.546 | policy_loss -0.00001 | value_loss 2564.29187 | Vmean -165.292 | Rmean -168.710 | Vrmse 71.462 | VexpVar 0.839 | adv_std 71.380 | elapsed 33.30s
iter 00156 | success 0.550 | policy_loss -0.00002 | value_loss 2618.99107 | Vmean -165.671 | Rmean -169.033 | Vrmse 71.945 | VexpVar 0.837 | adv_std 71.866 | elapsed 32.74s
iter 00157 | success 0.560 | policy_loss -0.00009 | value_loss 2534.93127 | Vmean -165.223 | Rmean -169.162 | Vrmse 71.043 | VexpVar 0.840 | adv_std 70.934 | elapsed 31.11s
iter 00158 | success 0.558 | policy_loss -0.00002 | value_loss 2580.23997 | Vmean -167.371 | Rmean -169.922 | Vrmse 71.588 | VexpVar 0.837 | adv_std 71.542 | elapsed 32.76s
iter 00159 | success 0.556 | policy_loss -0.00006 | value_loss 2543.22896 | Vmean -166.894 | Rmean -169.863 | Vrmse 71.055 | VexpVar 0.840 | adv_std 70.993 | elapsed 36.59s
iter 00160 | success 0.546 | policy_loss -0.00001 | value_loss 2583.57236 | Vmean -164.763 | Rmean -166.741 | Vrmse 71.576 | VexpVar 0.841 | adv_std 71.549 | elapsed 39.08s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_160.pt
iter 00161 | success 0.544 | policy_loss -0.00008 | value_loss 2548.29965 | Vmean -165.270 | Rmean -167.441 | Vrmse 71.132 | VexpVar 0.842 | adv_std 71.098 | elapsed 35.77s
iter 00162 | success 0.553 | policy_loss -0.00009 | value_loss 2511.44279 | Vmean -165.161 | Rmean -167.359 | Vrmse 70.567 | VexpVar 0.843 | adv_std 70.533 | elapsed 35.03s
iter 00163 | success 0.543 | policy_loss -0.00002 | value_loss 2627.67099 | Vmean -167.989 | Rmean -167.957 | Vrmse 72.041 | VexpVar 0.841 | adv_std 72.041 | elapsed 33.42s
iter 00164 | success 0.549 | policy_loss -0.00002 | value_loss 2655.70093 | Vmean -167.492 | Rmean -168.761 | Vrmse 72.204 | VexpVar 0.838 | adv_std 72.193 | elapsed 34.63s
iter 00165 | success 0.563 | policy_loss -0.00005 | value_loss 2513.66679 | Vmean -166.254 | Rmean -171.403 | Vrmse 70.587 | VexpVar 0.842 | adv_std 70.399 | elapsed 33.60s
iter 00166 | success 0.565 | policy_loss -0.00008 | value_loss 2498.07167 | Vmean -166.080 | Rmean -171.476 | Vrmse 70.489 | VexpVar 0.844 | adv_std 70.282 | elapsed 34.35s
iter 00167 | success 0.570 | policy_loss -0.00005 | value_loss 2459.25768 | Vmean -167.217 | Rmean -171.709 | Vrmse 69.932 | VexpVar 0.845 | adv_std 69.788 | elapsed 32.48s
iter 00168 | success 0.560 | policy_loss -0.00017 | value_loss 2523.57616 | Vmean -168.470 | Rmean -172.703 | Vrmse 70.784 | VexpVar 0.843 | adv_std 70.657 | elapsed 31.70s
iter 00169 | success 0.572 | policy_loss -0.00008 | value_loss 2515.69116 | Vmean -167.921 | Rmean -173.806 | Vrmse 70.589 | VexpVar 0.841 | adv_std 70.344 | elapsed 32.01s
iter 00170 | success 0.559 | policy_loss -0.00009 | value_loss 2688.77240 | Vmean -172.350 | Rmean -174.709 | Vrmse 73.044 | VexpVar 0.831 | adv_std 73.006 | elapsed 35.21s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_170.pt
iter 00171 | success 0.572 | policy_loss -0.00004 | value_loss 2587.91946 | Vmean -176.196 | Rmean -178.535 | Vrmse 71.594 | VexpVar 0.833 | adv_std 71.555 | elapsed 42.31s
iter 00172 | success 0.572 | policy_loss -0.00007 | value_loss 2623.20470 | Vmean -177.797 | Rmean -180.499 | Vrmse 72.201 | VexpVar 0.830 | adv_std 72.150 | elapsed 34.58s
iter 00173 | success 0.582 | policy_loss -0.00004 | value_loss 2602.48643 | Vmean -177.171 | Rmean -182.043 | Vrmse 71.662 | VexpVar 0.830 | adv_std 71.496 | elapsed 35.49s
iter 00174 | success 0.561 | policy_loss -0.00004 | value_loss 2681.10550 | Vmean -176.420 | Rmean -178.640 | Vrmse 73.013 | VexpVar 0.828 | adv_std 72.979 | elapsed 35.22s
iter 00175 | success 0.571 | policy_loss -0.00004 | value_loss 2616.33160 | Vmean -173.988 | Rmean -178.855 | Vrmse 72.135 | VexpVar 0.830 | adv_std 71.970 | elapsed 31.62s
iter 00176 | success 0.565 | policy_loss -0.00005 | value_loss 2658.24304 | Vmean -175.464 | Rmean -179.640 | Vrmse 72.710 | VexpVar 0.828 | adv_std 72.590 | elapsed 33.44s
iter 00177 | success 0.567 | policy_loss -0.00002 | value_loss 2574.02811 | Vmean -176.126 | Rmean -181.390 | Vrmse 71.500 | VexpVar 0.833 | adv_std 71.306 | elapsed 35.66s
iter 00178 | success 0.569 | policy_loss -0.00020 | value_loss 2619.11760 | Vmean -174.100 | Rmean -180.598 | Vrmse 72.151 | VexpVar 0.830 | adv_std 71.857 | elapsed 35.35s
iter 00179 | success 0.573 | policy_loss -0.00005 | value_loss 2586.47060 | Vmean -174.622 | Rmean -181.922 | Vrmse 71.628 | VexpVar 0.832 | adv_std 71.255 | elapsed 35.78s
iter 00180 | success 0.577 | policy_loss -0.00010 | value_loss 2528.30040 | Vmean -173.037 | Rmean -180.762 | Vrmse 70.926 | VexpVar 0.834 | adv_std 70.504 | elapsed 35.48s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_180.pt
iter 00181 | success 0.573 | policy_loss -0.00004 | value_loss 2553.22328 | Vmean -175.554 | Rmean -181.369 | Vrmse 70.967 | VexpVar 0.834 | adv_std 70.729 | elapsed 39.53s
iter 00182 | success 0.566 | policy_loss -0.00004 | value_loss 2620.42976 | Vmean -178.847 | Rmean -181.194 | Vrmse 72.032 | VexpVar 0.830 | adv_std 71.994 | elapsed 35.68s
iter 00183 | success 0.571 | policy_loss -0.00004 | value_loss 2590.86444 | Vmean -177.300 | Rmean -180.503 | Vrmse 71.814 | VexpVar 0.832 | adv_std 71.743 | elapsed 35.43s
iter 00184 | success 0.556 | policy_loss -0.00005 | value_loss 2593.92705 | Vmean -174.526 | Rmean -179.149 | Vrmse 71.593 | VexpVar 0.834 | adv_std 71.443 | elapsed 35.74s
iter 00185 | success 0.573 | policy_loss -0.00008 | value_loss 2465.98270 | Vmean -173.837 | Rmean -177.611 | Vrmse 69.958 | VexpVar 0.841 | adv_std 69.856 | elapsed 34.63s
iter 00186 | success 0.575 | policy_loss -0.00006 | value_loss 2471.99483 | Vmean -172.626 | Rmean -178.289 | Vrmse 70.010 | VexpVar 0.840 | adv_std 69.780 | elapsed 36.06s
iter 00187 | success 0.586 | policy_loss -0.00005 | value_loss 2441.54730 | Vmean -172.799 | Rmean -178.375 | Vrmse 69.663 | VexpVar 0.842 | adv_std 69.439 | elapsed 35.82s
iter 00188 | success 0.583 | policy_loss -0.00008 | value_loss 2472.85226 | Vmean -172.869 | Rmean -177.954 | Vrmse 70.060 | VexpVar 0.841 | adv_std 69.875 | elapsed 34.39s
iter 00189 | success 0.572 | policy_loss -0.00001 | value_loss 2501.80284 | Vmean -172.103 | Rmean -178.210 | Vrmse 70.496 | VexpVar 0.839 | adv_std 70.231 | elapsed 33.66s
iter 00190 | success 0.556 | policy_loss -0.00009 | value_loss 2564.49182 | Vmean -172.773 | Rmean -178.778 | Vrmse 71.365 | VexpVar 0.837 | adv_std 71.112 | elapsed 31.52s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_190.pt
iter 00191 | success 0.574 | policy_loss -0.00006 | value_loss 2465.37744 | Vmean -171.844 | Rmean -179.879 | Vrmse 70.017 | VexpVar 0.840 | adv_std 69.555 | elapsed 38.82s
iter 00192 | success 0.599 | policy_loss -0.00007 | value_loss 2439.61774 | Vmean -173.670 | Rmean -182.039 | Vrmse 69.500 | VexpVar 0.840 | adv_std 68.994 | elapsed 32.59s
iter 00193 | success 0.580 | policy_loss -0.00002 | value_loss 2507.93170 | Vmean -174.046 | Rmean -180.524 | Vrmse 70.201 | VexpVar 0.839 | adv_std 69.901 | elapsed 34.37s
iter 00194 | success 0.587 | policy_loss -0.00007 | value_loss 2403.40143 | Vmean -177.779 | Rmean -184.174 | Vrmse 68.934 | VexpVar 0.839 | adv_std 68.637 | elapsed 33.50s
iter 00195 | success 0.591 | policy_loss -0.00008 | value_loss 2390.66615 | Vmean -176.504 | Rmean -183.967 | Vrmse 68.841 | VexpVar 0.840 | adv_std 68.435 | elapsed 34.34s
iter 00196 | success 0.590 | policy_loss -0.00005 | value_loss 2400.04512 | Vmean -178.836 | Rmean -185.999 | Vrmse 69.075 | VexpVar 0.837 | adv_std 68.702 | elapsed 36.66s
iter 00197 | success 0.582 | policy_loss -0.00009 | value_loss 2544.94220 | Vmean -179.341 | Rmean -184.381 | Vrmse 70.875 | VexpVar 0.832 | adv_std 70.695 | elapsed 34.40s
iter 00198 | success 0.592 | policy_loss -0.00005 | value_loss 2503.30785 | Vmean -179.296 | Rmean -183.331 | Vrmse 70.481 | VexpVar 0.835 | adv_std 70.365 | elapsed 34.84s
iter 00199 | success 0.593 | policy_loss -0.00005 | value_loss 2484.78522 | Vmean -182.586 | Rmean -186.171 | Vrmse 70.108 | VexpVar 0.833 | adv_std 70.016 | elapsed 33.97s
iter 00200 | success 0.586 | policy_loss -0.00010 | value_loss 2509.81381 | Vmean -182.708 | Rmean -185.699 | Vrmse 70.597 | VexpVar 0.832 | adv_std 70.533 | elapsed 35.24s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_200.pt
iter 00201 | success 0.583 | policy_loss -0.00004 | value_loss 2493.62141 | Vmean -184.970 | Rmean -188.677 | Vrmse 70.035 | VexpVar 0.831 | adv_std 69.937 | elapsed 41.92s
iter 00202 | success 0.582 | policy_loss 0.00001 | value_loss 2446.32622 | Vmean -183.544 | Rmean -187.507 | Vrmse 69.779 | VexpVar 0.832 | adv_std 69.666 | elapsed 32.84s
iter 00203 | success 0.593 | policy_loss -0.00012 | value_loss 2438.48741 | Vmean -182.631 | Rmean -187.780 | Vrmse 69.361 | VexpVar 0.835 | adv_std 69.169 | elapsed 33.42s
iter 00204 | success 0.599 | policy_loss -0.00006 | value_loss 2381.18433 | Vmean -183.724 | Rmean -189.894 | Vrmse 68.624 | VexpVar 0.836 | adv_std 68.346 | elapsed 32.30s
iter 00205 | success 0.598 | policy_loss -0.00008 | value_loss 2410.11424 | Vmean -181.997 | Rmean -187.841 | Vrmse 68.776 | VexpVar 0.837 | adv_std 68.527 | elapsed 32.48s
iter 00206 | success 0.596 | policy_loss -0.00003 | value_loss 2415.10231 | Vmean -187.935 | Rmean -191.232 | Vrmse 69.154 | VexpVar 0.831 | adv_std 69.076 | elapsed 33.86s
iter 00207 | success 0.603 | policy_loss -0.00001 | value_loss 2424.55629 | Vmean -185.628 | Rmean -189.111 | Vrmse 69.397 | VexpVar 0.832 | adv_std 69.310 | elapsed 33.38s
iter 00208 | success 0.597 | policy_loss -0.00005 | value_loss 2409.49414 | Vmean -188.475 | Rmean -191.765 | Vrmse 69.169 | VexpVar 0.830 | adv_std 69.091 | elapsed 34.16s
iter 00209 | success 0.586 | policy_loss -0.00005 | value_loss 2487.52275 | Vmean -185.315 | Rmean -188.684 | Vrmse 70.199 | VexpVar 0.830 | adv_std 70.119 | elapsed 35.02s
iter 00210 | success 0.605 | policy_loss -0.00003 | value_loss 2360.50635 | Vmean -187.372 | Rmean -192.683 | Vrmse 68.446 | VexpVar 0.832 | adv_std 68.240 | elapsed 31.47s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_210.pt
iter 00211 | success 0.584 | policy_loss -0.00008 | value_loss 2471.30698 | Vmean -185.583 | Rmean -189.602 | Vrmse 70.006 | VexpVar 0.829 | adv_std 69.890 | elapsed 34.30s
iter 00212 | success 0.589 | policy_loss -0.00005 | value_loss 2431.53029 | Vmean -180.932 | Rmean -186.978 | Vrmse 69.541 | VexpVar 0.834 | adv_std 69.278 | elapsed 32.62s
iter 00213 | success 0.605 | policy_loss -0.00005 | value_loss 2351.42465 | Vmean -182.489 | Rmean -188.738 | Vrmse 68.282 | VexpVar 0.837 | adv_std 67.995 | elapsed 32.06s
iter 00214 | success 0.605 | policy_loss -0.00011 | value_loss 2387.38150 | Vmean -183.620 | Rmean -189.812 | Vrmse 68.527 | VexpVar 0.835 | adv_std 68.246 | elapsed 33.17s
iter 00215 | success 0.601 | policy_loss -0.00010 | value_loss 2429.60085 | Vmean -185.864 | Rmean -191.074 | Vrmse 69.413 | VexpVar 0.829 | adv_std 69.217 | elapsed 33.21s
iter 00216 | success 0.601 | policy_loss -0.00006 | value_loss 2379.19299 | Vmean -184.198 | Rmean -190.551 | Vrmse 68.723 | VexpVar 0.833 | adv_std 68.429 | elapsed 34.17s
iter 00217 | success 0.612 | policy_loss -0.00005 | value_loss 2383.85907 | Vmean -187.475 | Rmean -191.905 | Vrmse 68.634 | VexpVar 0.831 | adv_std 68.491 | elapsed 34.26s
iter 00218 | success 0.606 | policy_loss -0.00004 | value_loss 2419.71468 | Vmean -187.917 | Rmean -192.235 | Vrmse 68.974 | VexpVar 0.830 | adv_std 68.839 | elapsed 34.90s
iter 00219 | success 0.599 | policy_loss -0.00008 | value_loss 2413.74519 | Vmean -190.394 | Rmean -192.696 | Vrmse 69.192 | VexpVar 0.828 | adv_std 69.154 | elapsed 35.24s
iter 00220 | success 0.597 | policy_loss -0.00007 | value_loss 2449.45703 | Vmean -189.925 | Rmean -191.529 | Vrmse 69.713 | VexpVar 0.828 | adv_std 69.694 | elapsed 31.68s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_220.pt
iter 00221 | success 0.597 | policy_loss -0.00003 | value_loss 2395.89662 | Vmean -188.252 | Rmean -192.907 | Vrmse 68.834 | VexpVar 0.831 | adv_std 68.676 | elapsed 32.50s
iter 00222 | success 0.607 | policy_loss -0.00005 | value_loss 2340.19682 | Vmean -191.590 | Rmean -194.781 | Vrmse 68.037 | VexpVar 0.831 | adv_std 67.962 | elapsed 31.38s
iter 00223 | success 0.608 | policy_loss -0.00003 | value_loss 2413.99748 | Vmean -194.048 | Rmean -195.879 | Vrmse 68.992 | VexpVar 0.825 | adv_std 68.967 | elapsed 32.61s
iter 00224 | success 0.593 | policy_loss -0.00005 | value_loss 2468.06143 | Vmean -190.688 | Rmean -193.183 | Vrmse 69.911 | VexpVar 0.825 | adv_std 69.866 | elapsed 30.80s
iter 00225 | success 0.601 | policy_loss -0.00009 | value_loss 2454.35190 | Vmean -190.919 | Rmean -193.658 | Vrmse 69.788 | VexpVar 0.825 | adv_std 69.735 | elapsed 33.31s
iter 00226 | success 0.597 | policy_loss -0.00007 | value_loss 2412.04790 | Vmean -190.729 | Rmean -195.786 | Vrmse 68.930 | VexpVar 0.826 | adv_std 68.745 | elapsed 31.84s
iter 00227 | success 0.596 | policy_loss -0.00007 | value_loss 2428.39171 | Vmean -194.934 | Rmean -196.220 | Vrmse 69.178 | VexpVar 0.827 | adv_std 69.166 | elapsed 32.40s
iter 00228 | success 0.612 | policy_loss -0.00004 | value_loss 2398.77637 | Vmean -191.002 | Rmean -194.919 | Vrmse 68.962 | VexpVar 0.828 | adv_std 68.851 | elapsed 31.27s
iter 00229 | success 0.618 | policy_loss -0.00007 | value_loss 2348.50427 | Vmean -193.693 | Rmean -198.111 | Vrmse 67.467 | VexpVar 0.829 | adv_std 67.322 | elapsed 30.66s
