nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-121250
iter 00001 | success 0.015 | policy_loss 0.00191 | value_loss 8997.17706 | Vmean 0.001 | Rmean 60.267 | Vrmse 134.226 | VexpVar 0.000 | adv_std 119.935 | elapsed 33.88s
iter 00109 | success 0.514 | policy_loss -0.00008 | value_loss 2568.34773 | Vmean -127.790 | Rmean -143.516 | Vrmse 70.505 | VexpVar 0.860 | adv_std 68.728 | elapsed 32.97s
iter 00110 | success 0.532 | policy_loss -0.00006 | value_loss 2491.83374 | Vmean -129.444 | Rmean -145.715 | Vrmse 69.376 | VexpVar 0.862 | adv_std 67.441 | elapsed 34.15s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_110.pt
iter 00111 | success 0.519 | policy_loss -0.00001 | value_loss 2494.16747 | Vmean -123.161 | Rmean -139.020 | Vrmse 69.481 | VexpVar 0.864 | adv_std 67.647 | elapsed 35.89s
iter 00112 | success 0.518 | policy_loss -0.00005 | value_loss 2624.02495 | Vmean -124.164 | Rmean -139.711 | Vrmse 71.326 | VexpVar 0.858 | adv_std 69.611 | elapsed 34.49s
iter 00113 | success 0.521 | policy_loss -0.00002 | value_loss 2553.28404 | Vmean -129.193 | Rmean -144.725 | Vrmse 70.232 | VexpVar 0.861 | adv_std 68.493 | elapsed 34.48s
iter 00114 | success 0.518 | policy_loss -0.00003 | value_loss 2569.43353 | Vmean -127.547 | Rmean -143.118 | Vrmse 70.494 | VexpVar 0.862 | adv_std 68.753 | elapsed 34.59s
iter 00115 | success 0.513 | policy_loss -0.00004 | value_loss 2468.92496 | Vmean -126.594 | Rmean -142.914 | Vrmse 69.102 | VexpVar 0.866 | adv_std 67.147 | elapsed 34.63s
iter 00116 | success 0.521 | policy_loss -0.00002 | value_loss 2551.04449 | Vmean -127.957 | Rmean -144.314 | Vrmse 70.214 | VexpVar 0.863 | adv_std 68.282 | elapsed 34.70s
iter 00117 | success 0.525 | policy_loss -0.00002 | value_loss 2521.60318 | Vmean -130.407 | Rmean -146.685 | Vrmse 69.757 | VexpVar 0.864 | adv_std 67.831 | elapsed 34.66s
iter 00118 | success 0.513 | policy_loss -0.00003 | value_loss 2491.68285 | Vmean -126.826 | Rmean -142.929 | Vrmse 69.387 | VexpVar 0.867 | adv_std 67.493 | elapsed 34.58s
iter 00119 | success 0.536 | policy_loss -0.00004 | value_loss 2509.55661 | Vmean -127.534 | Rmean -143.845 | Vrmse 69.658 | VexpVar 0.866 | adv_std 67.722 | elapsed 34.58s
iter 00120 | success 0.518 | policy_loss -0.00004 | value_loss 2515.35764 | Vmean -129.380 | Rmean -145.783 | Vrmse 69.724 | VexpVar 0.866 | adv_std 67.767 | elapsed 34.60s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_120.pt
iter 00121 | success 0.520 | policy_loss -0.00007 | value_loss 2461.73965 | Vmean -130.790 | Rmean -146.722 | Vrmse 68.940 | VexpVar 0.869 | adv_std 67.074 | elapsed 35.65s
iter 00122 | success 0.528 | policy_loss -0.00001 | value_loss 2524.14500 | Vmean -130.076 | Rmean -147.026 | Vrmse 69.780 | VexpVar 0.867 | adv_std 67.690 | elapsed 33.65s
iter 00123 | success 0.525 | policy_loss -0.00003 | value_loss 2477.25531 | Vmean -128.164 | Rmean -145.377 | Vrmse 69.124 | VexpVar 0.870 | adv_std 66.947 | elapsed 33.35s
iter 00124 | success 0.530 | policy_loss -0.00002 | value_loss 2422.77121 | Vmean -130.668 | Rmean -147.856 | Vrmse 68.335 | VexpVar 0.872 | adv_std 66.138 | elapsed 34.32s
iter 00125 | success 0.517 | policy_loss -0.00003 | value_loss 2482.98610 | Vmean -129.805 | Rmean -146.157 | Vrmse 69.191 | VexpVar 0.870 | adv_std 67.231 | elapsed 33.36s
iter 00126 | success 0.525 | policy_loss -0.00003 | value_loss 2450.69366 | Vmean -130.343 | Rmean -147.259 | Vrmse 68.727 | VexpVar 0.872 | adv_std 66.612 | elapsed 34.33s
iter 00127 | success 0.542 | policy_loss -0.00007 | value_loss 2404.04469 | Vmean -130.719 | Rmean -148.102 | Vrmse 68.062 | VexpVar 0.874 | adv_std 65.805 | elapsed 34.17s
iter 00128 | success 0.528 | policy_loss -0.00005 | value_loss 2427.45363 | Vmean -128.051 | Rmean -145.475 | Vrmse 68.340 | VexpVar 0.874 | adv_std 66.081 | elapsed 31.60s
iter 00129 | success 0.533 | policy_loss -0.00003 | value_loss 2371.89536 | Vmean -130.710 | Rmean -147.805 | Vrmse 67.554 | VexpVar 0.876 | adv_std 65.355 | elapsed 31.92s
iter 00130 | success 0.518 | policy_loss -0.00008 | value_loss 2456.21149 | Vmean -127.353 | Rmean -143.999 | Vrmse 68.835 | VexpVar 0.874 | adv_std 66.792 | elapsed 29.02s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_130.pt
iter 00131 | success 0.539 | policy_loss -0.00007 | value_loss 2429.73149 | Vmean -127.041 | Rmean -145.414 | Vrmse 68.469 | VexpVar 0.875 | adv_std 65.958 | elapsed 30.30s
iter 00132 | success 0.540 | policy_loss -0.00006 | value_loss 2391.13300 | Vmean -131.243 | Rmean -150.042 | Vrmse 67.863 | VexpVar 0.877 | adv_std 65.208 | elapsed 29.60s
iter 00133 | success 0.535 | policy_loss -0.00004 | value_loss 2383.93588 | Vmean -128.186 | Rmean -146.385 | Vrmse 67.795 | VexpVar 0.878 | adv_std 65.306 | elapsed 29.46s
iter 00134 | success 0.541 | policy_loss -0.00005 | value_loss 2382.66768 | Vmean -129.978 | Rmean -148.594 | Vrmse 67.786 | VexpVar 0.877 | adv_std 65.180 | elapsed 28.59s
iter 00135 | success 0.539 | policy_loss -0.00004 | value_loss 2374.38591 | Vmean -128.948 | Rmean -148.197 | Vrmse 67.657 | VexpVar 0.878 | adv_std 64.861 | elapsed 28.97s
iter 00136 | success 0.519 | policy_loss -0.00003 | value_loss 2411.77177 | Vmean -130.610 | Rmean -149.475 | Vrmse 68.180 | VexpVar 0.877 | adv_std 65.518 | elapsed 31.09s
iter 00137 | success 0.515 | policy_loss -0.00005 | value_loss 2377.63486 | Vmean -129.096 | Rmean -146.570 | Vrmse 67.678 | VexpVar 0.879 | adv_std 65.383 | elapsed 32.32s
iter 00138 | success 0.524 | policy_loss -0.00004 | value_loss 2410.93994 | Vmean -127.672 | Rmean -146.273 | Vrmse 68.190 | VexpVar 0.878 | adv_std 65.604 | elapsed 29.52s
iter 00139 | success 0.535 | policy_loss -0.00004 | value_loss 2423.50575 | Vmean -130.757 | Rmean -149.336 | Vrmse 68.348 | VexpVar 0.876 | adv_std 65.774 | elapsed 28.90s
iter 00140 | success 0.532 | policy_loss -0.00011 | value_loss 2390.04419 | Vmean -127.578 | Rmean -146.561 | Vrmse 67.867 | VexpVar 0.879 | adv_std 65.158 | elapsed 29.04s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_140.pt
iter 00141 | success 0.531 | policy_loss -0.00010 | value_loss 2367.22937 | Vmean -129.424 | Rmean -148.191 | Vrmse 67.569 | VexpVar 0.880 | adv_std 64.911 | elapsed 31.62s
iter 00142 | success 0.531 | policy_loss -0.00010 | value_loss 2351.39848 | Vmean -128.829 | Rmean -148.037 | Vrmse 67.330 | VexpVar 0.880 | adv_std 64.532 | elapsed 31.64s
iter 00143 | success 0.531 | policy_loss -0.00007 | value_loss 2355.32936 | Vmean -130.605 | Rmean -149.677 | Vrmse 67.392 | VexpVar 0.880 | adv_std 64.637 | elapsed 30.00s
iter 00144 | success 0.544 | policy_loss -0.00001 | value_loss 2359.42694 | Vmean -131.506 | Rmean -151.182 | Vrmse 67.417 | VexpVar 0.879 | adv_std 64.482 | elapsed 31.12s
iter 00145 | success 0.522 | policy_loss -0.00004 | value_loss 2375.66710 | Vmean -130.787 | Rmean -150.315 | Vrmse 67.665 | VexpVar 0.879 | adv_std 64.786 | elapsed 29.85s
iter 00146 | success 0.555 | policy_loss -0.00002 | value_loss 2311.61372 | Vmean -132.989 | Rmean -152.390 | Vrmse 66.761 | VexpVar 0.881 | adv_std 63.880 | elapsed 32.15s
iter 00147 | success 0.550 | policy_loss -0.00003 | value_loss 2272.07994 | Vmean -135.472 | Rmean -155.072 | Vrmse 66.176 | VexpVar 0.882 | adv_std 63.207 | elapsed 31.07s
iter 00148 | success 0.538 | policy_loss -0.00003 | value_loss 2329.62303 | Vmean -129.302 | Rmean -148.262 | Vrmse 67.052 | VexpVar 0.881 | adv_std 64.316 | elapsed 29.84s
iter 00149 | success 0.527 | policy_loss -0.00003 | value_loss 2373.34917 | Vmean -130.319 | Rmean -148.400 | Vrmse 67.666 | VexpVar 0.879 | adv_std 65.206 | elapsed 30.28s
iter 00150 | success 0.529 | policy_loss -0.00013 | value_loss 2361.76547 | Vmean -130.585 | Rmean -149.023 | Vrmse 67.494 | VexpVar 0.879 | adv_std 64.927 | elapsed 31.84s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_150.pt
iter 00151 | success 0.556 | policy_loss -0.00009 | value_loss 2308.25044 | Vmean -132.357 | Rmean -151.526 | Vrmse 66.722 | VexpVar 0.881 | adv_std 63.909 | elapsed 35.50s
iter 00152 | success 0.529 | policy_loss -0.00006 | value_loss 2309.55492 | Vmean -129.155 | Rmean -147.963 | Vrmse 66.725 | VexpVar 0.883 | adv_std 64.019 | elapsed 32.78s
iter 00153 | success 0.516 | policy_loss -0.00005 | value_loss 2312.47391 | Vmean -128.525 | Rmean -146.443 | Vrmse 66.802 | VexpVar 0.882 | adv_std 64.354 | elapsed 33.08s
iter 00154 | success 0.513 | policy_loss -0.00005 | value_loss 2377.27197 | Vmean -126.859 | Rmean -144.266 | Vrmse 67.731 | VexpVar 0.880 | adv_std 65.456 | elapsed 33.55s
iter 00155 | success 0.528 | policy_loss -0.00002 | value_loss 2346.14990 | Vmean -131.353 | Rmean -149.656 | Vrmse 67.246 | VexpVar 0.880 | adv_std 64.707 | elapsed 31.87s
iter 00156 | success 0.527 | policy_loss -0.00007 | value_loss 2401.61766 | Vmean -128.850 | Rmean -147.734 | Vrmse 68.085 | VexpVar 0.879 | adv_std 65.414 | elapsed 31.20s
